state_clean,ev_share_%,ev_registrations,incentives,gasoline_price_per_gallon,price_cents_per_kwh,per_cap_income,bachelor_attainment,chargers_per_1000_evs,party,ev_share_gas6,ev_share_incentives50,ev_share_combined
Alabama,0.27,13000,16.0,2.742,11.47,35046.0,26.62,84.3076923076923,Republican,,,
Alaska,0.48,2700,15.0,3.594,21.41,45792.0,28.79,45.925925925925924,Republican,,,
Arizona,1.38,89800,50.0,3.278,12.19,41290.0,30.03,39.042316258351896,Democratic,,,
California,3.41,1256600,151.0,4.731,24.87,48013.0,34.43,39.33869170778291,Democratic,,,
Colorado,1.66,90100,97.0,3.152,11.76,51768.0,42.37,60.288568257491676,Democratic,3.631909290443856,1.5610832934848933,3.829959948212977
Connecticut,1.07,31600,44.0,3.043,24.24,53119.0,40.43,80.60126582278481,Democratic,,,
Delaware,0.92,8400,31.0,2.964,12.85,44350.0,33.4,62.26190476190476,Democratic,3.145933857670326,0.7905803908458493,3.2092283977821072
Florida,1.37,254900,69.0,3.117,13.53,41902.0,32.44,38.30129462534327,Republican,,,
Georgia,0.96,92400,32.0,2.908,11.06,39685.0,32.93,54.047619047619044,Democratic,,,
Hawaii,2.37,25600,29.0,4.458,38.6,43794.0,33.78,33.59375,Democratic,,,
Idaho,0.43,8500,32.0,3.3,9.08,37426.0,29.21,60.82352941176471,Republican,,,
Illinois,0.99,99600,65.0,3.373,11.75,45043.0,36.41,35.24096385542168,Democratic,,,
Indiana,0.42,26100,58.0,3.135,11.49,37299.0,28.35,58.735632183908045,Republican,,,
Iowa,0.29,9000,42.0,2.943,9.42,39518.0,29.53,95.0,Republican,2.7779992886564058,0.4283753960707153,2.8637531817110773
Kentucky,0.29,11600,26.0,2.85,9.96,34676.0,26.3,73.1896551724138,Republican,,,
Louisiana,0.22,8200,21.0,2.707,8.91,34102.0,24.8,86.46341463414633,Republican,,,
Maryland,1.42,72100,67.0,3.058,14.34,50728.0,40.87,69.65325936199723,Democratic,,,
Massachusetts,1.34,73800,75.0,2.947,23.21,55897.0,45.21,95.28455284552847,Democratic,,,
Michigan,0.59,50300,45.0,3.199,13.68,38952.0,30.87,66.64015904572565,Democratic,,,
Minnesota,0.72,37100,128.0,2.977,12.21,46530.0,38.28,53.77358490566038,Democratic,,,
Montana,0.45,4600,25.0,3.15,10.97,40197.0,30.67,75.43478260869566,Republican,,,
Nebraska,0.35,6900,19.0,3.001,9.14,41436.0,33.17,80.28985507246377,Republican,,,
Nevada,1.85,47400,23.0,3.804,13.09,40463.0,26.07,41.91983122362869,Democratic,,,
New Hampshire,0.72,9900,41.0,2.857,22.96,51587.0,38.18,60.303030303030305,Democratic,,,
New Jersey,1.84,134800,49.0,2.97,15.27,52583.0,41.99,27.618694362017806,Democratic,,,
New Mexico,0.53,10300,40.0,2.872,9.47,35510.0,27.02,67.47572815533981,Democratic,,,
New York,1.16,131300,91.0,3.071,18.28,48847.0,38.94,84.64584920030464,Democratic,3.3899248084561044,1.2423191089163574,3.575724910074558
North Carolina,0.77,70200,61.0,2.913,10.61,40414.0,34.24,59.88603988603989,Republican,3.1577265443199076,0.8229963956816553,3.282273865185025
Ohio,0.49,50400,34.0,3.131,11.04,39395.0,30.69,72.48015873015873,Republican,,,
Oklahoma,0.53,22800,30.0,2.762,9.3,34206.0,25.7,59.78070175438596,Republican,,,
Oregon,1.68,64400,98.0,3.871,10.32,44623.0,34.84,49.53416149068323,Democratic,3.5045328853471354,2.0085444043300056,3.7046253024747005
Pennsylvania,0.69,70200,60.0,3.328,12.57,42605.0,34.08,61.15384615384615,Democratic,,,
South Carolina,0.41,20900,38.0,2.799,10.5,38097.0,30.28,65.74162679425838,Republican,,,
Tennessee,0.51,33200,13.0,2.726,10.69,38538.0,29.89,67.01807228915662,Republican,2.85491675355692,0.27320745963392223,2.8814596252166993
Texas,0.89,230100,113.0,2.734,10.04,39775.0,31.19,37.53585397653194,Republican,,,
Utah,1.3,40000,27.0,3.285,9.03,40096.0,33.51,54.625,Republican,,,
Virginia,1.1,84900,43.0,3.007,10.68,48689.0,39.58,53.76914016489989,Democratic,3.3655346267357658,1.0689384857495994,3.453330279148881
Washington,2.23,152100,81.0,4.231,9.58,52011.0,37.43,38.24457593688363,Democratic,,,
Wisconsin,0.45,24900,47.0,2.943,12.72,41785.0,31.96,56.144578313253014,Democratic,,,
